XML-ID,Wikidata_ID,Viaf ID,NHRP ID,Given Name,Surname,Name,Year of Birth,Year of Death,Lifespan,Country of co=itizenship,Occupation,Instance,Gender,Brief Description
peHerrA,,,,,,A,,,,,,human,,
peAb,Q179825,90053837,,,,’ABD AL-QADIR,1808,1883,1808-1883,Algeria,scientist,human,male,emir i Algerie.
peAbd,Q151500,122114473,,,,ABDÜLAZIZ,1830,1876,1830-1876,Ottoman Empire,composer,human,male,osmansk sultan 1861-76 (Hourani 2002).
peCARA,Q65936324,,pq00000000001494,CHRISTIAN [AUGUST RUDOLPH],ABELSTED,CHRISTIAN [AUGUST RUDOLPH] ABELSTED,1833,1889,1833-1889,Norway,actor,human,male,norsk skuespiller.
peTAb,Q12005997,228867610,,THEODOR,ABILDGAARD,THEODOR ABILDGAARD,1826,1884,1826-1884,Norway,editor,human,male,norsk student og arbeiderfører.
peCA,,,,[JENSINE MARIE FREDERIKKE] CECILIE,ABRAHAMS,[JENSINE MARIE FREDERIKKE] CECILIE ABRAHAMS,1848,1891,1848-1891,,,human,,dansk filolog- og malerhustru.
peFrAb,,,,FRITZ,ABRAHAMS,FRITZ ABRAHAMS,1841,1881,1841-1881,,,human,,dansk filolog.
peJHSA,Q5541497,,,[JOHANNES HENRIK] SEVERIN,ABRAHAMS,[JOHANNES HENRIK] SEVERIN ABRAHAMS,1843,1900,1843-1900,Denmark,actor,human,male,dansk teaterdirektør.
peTA,Q63108449,62289287,,[CARL JULIUS] THEODOR,ACKERMANN,[CARL JULIUS] THEODOR ACKERMANN,1827,1911,1827-1911,,publisher,human,male,tysk bokhandler og forlegger.
peLAd,Q18023252,97610053,,LEOPOLD,ADLER,LEOPOLD ADLER,1850,1919,1850-1919,Austria,writer,human,male,"tysk skuespiller, dikter, dramaturg."
peSA,Q4346827,47621912,,[KARIN] SOPHIE,ADLERSPARRE,[KARIN] SOPHIE ADLERSPARRE,1823,1895,1823-1895,Sweden,newspaper editor,human,female,svensk kvinnesaksforkjemper og forfatterinne.
peBA,Q457801,752905,,BERNHARD,AFINGER,BERNHARD AFINGER,1813,1882,1813-1882,Germany,sculptor,human,male,tysk billedhugger.
peHEPCA,Q45917603,286838326,,[HENRIETTE ELISABETH] PAULINE [CHRISTINA],AHLBERG,[HENRIETTE ELISABETH] PAULINE [CHRISTINA] AHLBERG,1851,1896,1851-1896,Sweden,writer,human,female,svensk forfatterinne.
peAKar,Q317578,16244181,,,ALEXANDER KARADJORDJEVIĆ (KARAGEORGEVIĆ),ALEXANDER KARADJORDJEVIĆ (KARAGEORGEVIĆ),1806,1885,1806-1885,Serbia,sovereign,human,male,fyrste av Serbia 1842-58.
peAlex,Q152260,268757034,,,,ALEXANDRA,1844,1925,1844-1925,Denmark,photographer,human,female,prinsesse av Wales (fra 1901 dronning av England).
peBeAlm,Q4898802,6779148390846010830001,,BETTY (Hedvig Christina Elisabeth),ALMLÖF,BETTY (Hedvig Christina Elisabeth) ALMLÖF,1831,1882,1831-1882,Sweden,actor,human,female,svensk skuespillerinne.
peJLA,,,,JOHAN LUDVIG,ALSING,JOHAN LUDVIG ALSING,1812,1902,1812-1902,,,human,,norsk jurist og embetsmann.
peOAl,Q27189569,56971750,,OLGA,ALTIERI,OLGA ALTIERI,1843,1929,1843-1929,France,princess,human,female,"russisk-italiensk prinsesse, forfatterinne."
peAmm,Q172198,89594750,,,,AMMIANUS MARCELLINUS,0330,0395,0330-0395,Ancient Rome,writer,human,male,"romersk historieskriver, født i Antiokia."
peMA,Q468252,67333216,,MICHAEL [PETER],ANCHER,MICHAEL [PETER] ANCHER,1849,1927,1849-1927,Denmark,painter,human,male,dansk maler.
peAFA,,,,ANNE FREDRIKKE,ANDERSEN,ANNE FREDRIKKE ANDERSEN,1828,1895,1828-1895,,,human,,"norsk ingeniørhustru, mor til Hildur Andersen. "
peAAn,Q5553174,167082457,,AXEL,ANDERSEN,AXEL ANDERSEN,1846,1913,1846-1913,,,human,male,"norsk filolog, pedagog og dogmehistorisk forfatter."
peCCTA,Q15873738,47597627,,CARL [CHRISTIAN THORVALD],ANDERSEN,CARL [CHRISTIAN THORVALD] ANDERSEN,1828,1883,1828-1883,,writer,human,male,dansk forfatter.
peHCA,Q5673,4925902,,HANS CHRISTIAN,ANDERSEN,HANS CHRISTIAN ANDERSEN,1805,1875,1805-1875,Denmark,writer,human,male,dansk forfatter.
peHA,Q11975364,220149066602865601964,pf01036392084110,HILDUR,ANDERSEN,HILDUR ANDERSEN,1864,1956,1864-1956,Norway,pianist,human,female,norsk pianistinne og musikkpedagog.
peMatA,,,,MATHILDE,ANDERSEN,MATHILDE ANDERSEN,,,,,,human,,ikke identifisert.
peOMA,,17162721026861090800,,OLUF MARTIN,ANDERSEN,OLUF MARTIN ANDERSEN,1826,1908,1826-1908,,,human,,norsk stadsingeniør og brannsjef.
peTAn,Q5553363,69678408,,THEODOR [VILHELM JACOB],ANDERSEN,THEODOR [VILHELM JACOB] ANDERSEN,1835,1909,1835-1909,Denmark,actor,human,male,dansk skuespiller og teaterdirektør.
peVA,,,,VALBORG,ANDERSEN,VALBORG ANDERSEN,1857,1937,1857-1937,,,human,,norsk lærerinne.
peRBA,Q3436547,22924736,,RASMUS BJØRN,ANDERSON,RASMUS BJØRN ANDERSON,1846,1936,1846-1936,United States of America,diplomat,human,male,norsk-amerikansk forfatter.
peJAn,Q16023190,,,JUSTUS [HENRIK],ANDERSSEN,JUSTUS [HENRIK] ANDERSSEN,1867,1938,1867-1938,Norway,physician,human,male,norsk lege.
peLAS,Q38873,39372916,,LOU,ANDREAS-SALOMÉ,LOU ANDREAS-SALOMÉ,1861,1937,1861-1937,German Reich,writer,human,female,tysk forfatterinne.
peJPA,Q62604189,,,JENS PETER,ANDRESEN,JENS PETER ANDRESEN,1818,1871,1818-1871,,lawyer,human,male,norsk advokat.
peCJA,Q5557366,230251299,pf01037988000198,CARL JOHAN,ANKER,CARL JOHAN ANKER,1835,1903,1835-1903,Norway,writer,human,male,norsk offiser.
peAnAn,Q17352679,45051237,,ANTON,ANNO,ANTON ANNO,1838,1893,1838-1893,Germany,writer,human,male,tysk skuespiller.
peAA,Q529001,2532045,,ANDRÉ,ANTOINE,ANDRÉ ANTOINE,1858,1943,1858-1943,France,actor,human,male,"fransk skuespiller, teaterdirektør, kritiker og filmregissør."
pePA,Q95757498,165145542658096642024,,PAUL,APFELSTEDT,PAUL APFELSTEDT,,,,,writer,human,male,tysk autografsamler.
peAEAr,Q33113944,,pf01036392045344,ANNA ELIZA,ARBO,ANNA ELIZA ARBO,1854,1921,1854-1921,Norway,painter,human,female,norsk malerhustru.
pePNA,Q353014,30936931,pf01052721045917,PETER NICOLAI,ARBO,PETER NICOLAI ARBO,1831,1892,1831-1892,Norway,painter,human,male,norsk maler.
peFrAr,,222299029,,FRANCES [ELIZABETH],ARCHER,FRANCES [ELIZABETH] ARCHER,1855,1929,1855-1929,,,human,,britisk kritikerhustru.
peWA,Q1382278,2509112,,WILLIAM,ARCHER,WILLIAM ARCHER,1856,1924,1856-1924,United Kingdom of Great Britain and Ireland,writer,human,male,britisk teaterkritiker og journalist.
peSArc,Q1777383,226121847,pf01036392093920,SOFUS [ANTON BIRGER],ARCTANDER,SOFUS [ANTON BIRGER] ARCTANDER,1845,1924,1845-1924,Norway,politician,human,male,norsk politiker og embetsmann.
peArius,Q106026,12404999,,,,ARIUS,0250,0336,0250-0336,Ancient Rome,ascetic,human,male,aleksandrinsk presbyter (prest).
peRA,Q94660459,69855191,,RICHARD ACLAND,ARMSTRONG,RICHARD ACLAND ARMSTRONG,1843,1905,1843-1905,,author,human,male,engelsk unitarprest.
peWAA,Q694665,,,[WILLIBALD] ARNO VON,ARNDT,[WILLIBALD] ARNO VON ARNDT,1835,1902,1835-1902,Germany,military personnel,human,male,tysk offiser.
peKLAr,Q90179,27411763,,KARL LUDWIG (ARNDTS VON ARNESBERG),ARNDTS,KARL LUDWIG (ARNDTS VON ARNESBERG) ARNDTS,1803,1878,1803-1878,Germany,politician,human,male,tysk rettslærd.
peAAr,Q5560073,,,AUGUST [FREDRIK],ARPPE,AUGUST [FREDRIK] ARPPE,1854,1925,1854-1925,Finland,actor,human,male,finsk skuespiller og teaterdirektør.
peAArs,Q16168148,161623600,,AKSEL [KRISTIAN ANDERSEN],ARSTAL,AKSEL [KRISTIAN ANDERSEN] ARSTAL,1855,1940,1855-1940,Norway,geographer,human,male,norsk geograf og skolemann.
peHArs,,,,HENNY [HENRIETTE WILHELMINE],ARSTAL,HENNY [HENRIETTE WILHELMINE] ARSTAL,1872,1931,1872-1931,,,human,,norsk geografhustru.
peOAr,Q1779346,222636283,pf01036398000664,OLAUS (OLE),ARVESEN,OLAUS (OLE) ARVESEN,1830,1917,1830-1917,Norway,lawyer,human,male,"norsk journalist, skolemann og politiker."
peSMA,,,,SOPHIE MARIE,ARVESEN,SOPHIE MARIE ARVESEN,1842,1905,1842-1905,,,human,,norsk skolestyrerhustru.
pePCA,Q355485,116587918,pf01038011000661,PETER CHRISTEN,ASBJØRNSEN,PETER CHRISTEN ASBJØRNSEN,1812,1885,1812-1885,Union between Sweden and Norway,writer,human,male,norsk eventyrsamler og naturforsker.
peThAs,Q180332,42714751,pf01053257028317,TORKEL HALVORSEN,ASCHEHOUG,TORKEL HALVORSEN ASCHEHOUG,1822,1909,1822-1909,Norway,politician,human,male,"norsk jurist, økonom, historiker og politiker."
peJaHAs,Q42553578,,,JACOB [HVEDING],ASMUNDSEN,JACOB [HVEDING] ASMUNDSEN,1841,1910,1841-1910,Norway,actor,human,male,"norsk skuespiller, regissør og teaterleder."
peHRA,Q1809560,161079966,,HANS RASMUS,ASTRUP,HANS RASMUS ASTRUP,1831,1898,1831-1898,Norway,politician,human,male,norsk forretningsmann og politiker.
peLA,Q69971426,304313939,,[EUPHRASIE HÉLOISE] LYDIE,AUBERNON DE NERVILLE,[EUPHRASIE HÉLOISE] LYDIE AUBERNON DE NERVILLE,1825,1899,1825-1899,France,woman of letters,human,female,fransk salongvertinne og litterat.
peAAu,Q1777870,77065635,pf01036372005270,[FREDRIK LUDVIG] ANDREAS [VIBE],AUBERT,[FREDRIK LUDVIG] ANDREAS [VIBE] AUBERT,1851,1913,1851-1913,Norway,art historian,human,male,norsk kunsthistoriker.
peEA,Q4936944,16834995,pf01052055051821,ELISE [SOFIE],AUBERT,ELISE [SOFIE] AUBERT,1837,1909,1837-1909,Norway,writer,human,female,norsk forfatterinne.
peLMBA,Q3436836,67215562,pf01053257053350,LUDVIG [MARIBO BENJAMIN],AUBERT,LUDVIG [MARIBO BENJAMIN] AUBERT,1838,1896,1838-1896,Norway,politician,human,male,norsk jurist og politiker.
peAug,,,,AUGUSTA/GUSTA,,AUGUSTA/GUSTA,,,,,,human,,"tjenestepike hos Ibsen, ikke identifisert, jf. kommentar til brev til Su. Ibsen 11. desember 1894."
peOAB,Q456147,305130156,pf01052055015427,OLE ANDREAS,BACHKE,OLE ANDREAS BACHKE,1830,1890,1830-1890,Norway,judge,human,male,norsk jurist og politiker.
peHaBa,Q263025,8199706,pf01036392016581,HARRIET,BACKER,HARRIET BACKER,1845,1932,1845-1932,Norway,painter,human,female,norsk malerinne.
peWBa,,,,WALTHER,BACMEISTER,WALTHER BACMEISTER,,,,,,human,,tysk gymnasiast.
peFBa,,,,FREDERIK [AUGUST WILHELM],BAGGE,FREDERIK [AUGUST WILHELM] BAGGE,1861,1928,1861-1928,,,human,,dansk boktrykker.
peMaBa,Q6874729,96407812,,MAGNUS [THULSTRUP],BAGGE,MAGNUS [THULSTRUP] BAGGE,1825,1894,1825-1894,Norway,painter,human,male,norsk maler.
pePeBa,Q5564004,71366779,,PETER [FREDRIK LEO],BAGGE,PETER [FREDRIK LEO] BAGGE,1850,1926,1850-1926,Sweden,writer,human,male,svensk skolemann.
peCTB,,4858998,,CARL [THOLSTRUP],BAHNSON,CARL [THOLSTRUP] BAHNSON,1845,1917,1845-1917,,,human,,dansk prest og forfatter.
peHeBa,Q94034,36939191,,HERMANN,BAHR,HERMANN BAHR,1863,1934,1863-1934,Austria,writer,human,male,østerriksk forfatter.
peABan,,53149196501474792014,,ALBERT [THEODOR FREDERIK NICOLAI REICHWEIN HUITFELDT],BANG,ALBERT [THEODOR FREDERIK NICOLAI REICHWEIN HUITFELDT] BANG,1831,1892,1831-1892,,,human,,norsk offiser.
peACB,Q3356252,34597270,pf01036392309060,ANTON CHRISTIAN,BANG,ANTON CHRISTIAN BANG,1840,1913,1840-1913,Norway,writer,human,male,"norsk biskop, statsråd og kirkehistoriker."
peFSB,,,,FREDERIK SIEGFRED,BANG,FREDERIK SIEGFRED BANG,1810,1889,1810-1889,,,human,,dansk kunstsamler.
peHBa,Q439370,34476645,,HERMAN [JOACHIM],BANG,HERMAN [JOACHIM] BANG,1857,1912,1857-1912,Denmark,writer,human,male,dansk forfatter.
peIB,Q5565266,8168425,,IVAR [CHRISTIAN],BANG,IVAR [CHRISTIAN] BANG,1869,1918,1869-1918,Norway,physician,human,male,norsk-svensk lege og professor.
peABa,,,,ANDREA,BARBARO,ANDREA BARBARO,,,,,,human,,italiensk hotellvert.
peMBa,,,,MARIETTA,BARBARO,MARIETTA BARBARO,,,,,,human,,"italiensk hotellvertinne. Gift med Andrea Bararo, vert i Alergo della Luna, Amalfi, der Isen fullførte Et dukkehjem juli-septemer 1879 (Anker 2, 137). "
peEBa,Q94748404,66504164,,EMILIE,BARDACH,EMILIE BARDACH,1862,1955,1862-1955,,,human,female,østerriksk kjøpmannsdatter.
peMiBa,,,,MINNA,BARDACH,MINNA BARDACH,,,,,,human,,"østerriksk kjøpmannshustru, mor til Emilie Bardach (Figueiredo 2007, 615). "
peSiBa,,,,SIGMUND,BARDACH,SIGMUND BARDACH,,1890,-1890,,,human,,"østerriksk kjøpmann, far til Emilie Bardach. "
peAGB,Q5566027,,,ADOLF [GABRIEL],BARNEKOW,ADOLF [GABRIEL] BARNEKOW,1838,1924,1838-1924,Sweden,politician,human,male,svensk greve.
peVBa,Q3557146,39484051,,VICTOR,BARRUCAND,VICTOR BARRUCAND,1864,1934,1864-1934,France,writer,human,male,fransk forfatter og journalist.
peBas,Q44258,564159234692903372375,,,,BASILEIOS DEN STORE,0330,0379,0330-0379,Byzantine Empire,bishop,human,male,gresk kirkeleder.
peBasAnc,,,,,,BASILEIOS AV ANCYRA,,0364,-0364,,,human,,østromersk biskop.
peFrBa,Q13515,2466087,,FRÉDÉRIC,BASTIAT,FRÉDÉRIC BASTIAT,1801,1850,1801-1850,France,politician,human,male,fransk nasjonaløkonom.
peCBa,,,,C.,BAUER,C. BAUER,,,,,,human,,tysk husvertinne.
peHBau,Q1125847,43603637,,HENRY [FRANCIS],BAUËR,HENRY [FRANCIS] BAUËR,1851,1915,1851-1915,France,writer,human,male,"fransk journalist, kritiker og dramatiker."
peCBe,Q5568907,61288062,,CARL [JOHAN],BEHRENS,CARL [JOHAN] BEHRENS,1867,1946,1867-1946,Denmark,journalist,human,male,dansk forfatter og journalist.
peBell,,,,J. LAMBERT,BELLEFROID,J. LAMBERT BELLEFROID,1814,1890,1814-1890,,,human,,belgisk medisiner og embetsmann.
peBEB,Q2854546,28117320,,BENDIX EDVARD [REUTZ],BENDIXEN,BENDIX EDVARD [REUTZ] BENDIXEN,1838,1918,1838-1918,Norway,politician,human,male,norsk skolemann og arkeolog.
peCMBe,,,,CHRISTINE MARIE,BENDIXEN,CHRISTINE MARIE BENDIXEN,1858,1892,1858-1892,,,human,,norsk arkeologhustru.
peGuB,,,,GIUSEPPE,BENEDETTINI,GIUSEPPE BENEDETTINI,,,,,,human,,italiensk oppsynsmann og bud.
peVBe,Q273950,95228001,,VICTORIA [MARIA],BENEDICTSSON,VICTORIA [MARIA] BENEDICTSSON,1850,1888,1850-1888,Sweden,writer,human,female,svensk forfatterinne.
peOBen,Q5570805,20469753,,[JOSEF] OSCAR,BENSOW,[JOSEF] OSCAR BENSOW,1870,1936,1870-1936,Sweden,priest,human,male,svensk teolog.
peOBe,Q4585090,64270480,,[CARL] OTTO [VALDEMAR],BENZON,[CARL] OTTO [VALDEMAR] BENZON,1856,1927,1856-1927,Denmark,pharmacist,human,male,dansk apoteker og forfatter.
peChristen,Q321538,171923777,,CHRESTEN [POULSEN] (Christen),BERG,CHRESTEN [POULSEN] (Christen) BERG,1829,1891,1829-1891,Denmark,politician,human,male,dansk politiker.
peKBe,Q3058231,310509058,,KAARLO [JOHAN] (Juhani),BERGBOM,KAARLO [JOHAN] (Juhani) BERGBOM,1843,1906,1843-1906,Grand Duchy of Finland,writer,human,male,finsk teaterdirektør.
peABer,Q88890,29617410,,ALFRED Freiherr von,BERGER,ALFRED Freiherr von BERGER,1853,1912,1853-1912,Austria,author,human,male,østerriksk teaterdirektør og forfatter.
peBKB,Q11960795,,,BERNHARD KONRAD,BERGERSEN,BERNHARD KONRAD BERGERSEN,1847,1927,1847-1927,Norway,judge,human,male,norsk sakfører og dommer.
peJoBe,Q5572082,223473003,,JOHANNES,BERGH,JOHANNES BERGH,1837,1906,1837-1906,Norway,lawyer,human,male,norsk advokat.
peLB,Q5572130,153148995770759750892,pf01065522044906,[HAAKON] LUDVIG,BERGH,[HAAKON] LUDVIG BERGH,1865,1924,1865-1924,Norway,actor,human,male,"norsk skuespiller, sceneinstruktør, teatersjef, sanger og forfatter."
peBrBer,Q725227,96581282,pf01053257036948,BRYNJULF [LARSEN],BERGSLIEN,BRYNJULF [LARSEN] BERGSLIEN,1830,1898,1830-1898,Norway,sculptor,human,male,norsk billedhugger.
peKBer,Q983663,77388048,pf01037045004673,KNUD [LARSEN],BERGSLIEN,KNUD [LARSEN] BERGSLIEN,1827,1908,1827-1908,Norway,painter,human,male,norsk maler.
peCMHB,Q11963867,203053294,,CLARA [MATHILDE HENRIETTE],BERGSØE,CLARA [MATHILDE HENRIETTE] BERGSØE,1837,1905,1837-1905,Denmark,author,human,female,dansk forfatterinne (OneTree Genealogy 2004-05).
peJFBerg,Q12319888,171810355,,JOHAN FREDERIK,BERGSØE,JOHAN FREDERIK BERGSØE,1841,1897,1841-1897,Denmark,painter,human,male,dansk forfatter og maler.
peVB,Q715868,27203347,,[JØRGEN] VILHELM,BERGSØE,[JØRGEN] VILHELM BERGSØE,1835,1911,1835-1911,Denmark,poet,human,male,dansk forfatter og zoolog.
peBJC,Q1037035,391149066548065601332,,[JOHAN] CARL [ERNST],BERLING,[JOHAN] CARL [ERNST] BERLING,1812,1871,1812-1871,Denmark,businessperson,human,male,dansk boktrykker og hoffembetsmann.
peGBe,Q19798589,,,[FREUND JAKOB] GOTTLOB,BERNER,[FREUND JAKOB] GOTTLOB BERNER,1823,1914,1823-1914,Denmark,,human,male,dansk teaterembetsmann.
peHEB,Q955114,3658329,pf01036392063043,HAGBARD EMANUEL,BERNER,HAGBARD EMANUEL BERNER,1839,1920,1839-1920,Norway,politician,human,male,norsk politiker og embetsmann.
peBern,Q61104,57396349,,,,BERNHARD,1851,1928,1851-1928,Germany,military personnel,human,male,arveprins av Sachsen-Meiningen.
peCaBe,Q499784,49952262,,CARL,BERNHARD,CARL BERNHARD,1798,1865,1798-1865,Denmark,writer,human,male,dansk romanforfatter.
peSB,Q4605,68925417,,SARAH,BERNHARDT,SARAH BERNHARDT,1844,1923,1844-1923,France,actor,human,female,fransk skuespillerinne.
peTCB,,72148995771859750903,,THEODOR CHRISTIAN,BERNHOFT,THEODOR CHRISTIAN BERNHOFT,1833,1885,1833-1885,,,human,,norsk prest.
peGLB,Q160538,73850000,,GIOVANNI LORENZO,BERNINI,GIOVANNI LORENZO BERNINI,1598,1680,1598-1680,Italy,architect,human,male,"italiensk billedhugger, arkitekt og maler."
peEBe,Q107883,117272891,,ELSA,BERNSTEIN,ELSA BERNSTEIN,1866,1949,1866-1949,Austria,writer,human,female,tysk forfatterinne.
peMBe,Q86731,42644082,,MAX (MAXIMILIAN ERNST),BERNSTEIN,MAX (MAXIMILIAN ERNST) BERNSTEIN,1854,1925,1854-1925,Germany,writer,human,male,tysk advokat og forfatter.
peCaB,Q991570,204529063,,CARL,BERTRAND,CARL BERTRAND,1816,1895,1816-1895,Germany,physician,human,male,tysk lege og oversetter.
peRaBe,,,,RAGNHILD,BERVEN,RAGNHILD BERVEN,1863,1946,1863-1946,,,human,,norsk sangerinne (F 1900;
peOBet,Q15435800,69291798,,OTTOMAR,BETA,OTTOMAR BETA,1845,1913,1845-1913,Germany,writer,human,male,"tysk naturviter, journalist og forfatter."
peMBey,Q17119538,,,MORTEN,BEYER,MORTEN BEYER,1822,1880,1822-1880,Norway,politician,human,male,norsk dispasjør og dommer.
peGvB,Q95687788,5675267,,GABRIELE VON,BIBRA,GABRIELE VON BIBRA,1853,,1853-,,,human,female,tsjekkisk-østerriksk.
peJBiden,Q5575510,29928871,,JOHAN LAURITZ,BIDENKAP,JOHAN LAURITZ BIDENKAP,1828,1892,1828-1892,Norway,physician,human,male,norsk lege.
peHJB,,,,HENNING JUNGHANS,BIE,HENNING JUNGHANS BIE,1813,1889,1813-1889,,,human,,"norsk seilskutekaptein, losoldermann og havnefogd."
peCdBdC,Q23765906,51870160,,CHARLES DE,BIGAULT DE CASANOVE,CHARLES DE BIGAULT DE CASANOVE,1847,1910,1847-1910,France,writer,human,male,fransk lærer og oversetter.
peHjBi,,,,HJALMAR,BIGLER,HJALMAR BIGLER,1860,,1860-,,,human,,dansk bokhandler.
peCSAB,Q5576010,58629835,,CARL STEEN ANDERSEN,BILLE,CARL STEEN ANDERSEN BILLE,1828,1898,1828-1898,Denmark,businessperson,human,male,dansk avismann og politiker.
peLoBi,,,,LOUISE [MOGENSINE],BILLE,LOUISE [MOGENSINE] BILLE,1841,1926,1841-1926,,,human,,dansk redaktør- og politikerhustru.
peJBi,Q1777802,71301870,pf01036708000069,JUST [JOHAN],BING,JUST [JOHAN] BING,1866,1954,1866-1954,Norway,archivist,human,male,norsk statsarkivar og historiker.
peSBi,Q66112,32839322,,SAMUEL (eg. Siegfried),BING,SAMUEL (eg. Siegfried) BING,1838,1905,1838-1905,France,art dealer,human,male,tysk-fransk kunstsamler og kunstforhandler.
peESJB,,353149294145280521082,,ELSE SOPHIE JENSDATTER,BIRKEDALEN,ELSE SOPHIE JENSDATTER BIRKEDALEN,1818,1892,1818-1892,,,human,,norsk tjenestepike.
peHJHB,,,,HANS JACOB HENDRICHSSEN (Henriksen),BIRKEDALEN,HANS JACOB HENDRICHSSEN (Henriksen) BIRKEDALEN,1846,1916,1846-1916,,,human,,norsk smed.
peMBi,,,,MARIE,BIRKELAND,MARIE BIRKELAND,1831,1919,1831-1919,,,human,,norsk embetsmannshustru.
peMB,Q449180,51592717,pf01052721005671,MICHAEL,BIRKELAND,MICHAEL BIRKELAND,1830,1896,1830-1896,Norway,politician,human,male,"norsk riksarkivar, historiker og politiker."
peHBi,,,,HANS,BIRKREM,HANS BIRKREM,1821,1872,1821-1872,,,human,,norsk lærer.
peOvB,Q8442,46772111,,OTTO [FÜRST] VON,BISMARCK,OTTO [FÜRST] VON BISMARCK,1815,1898,1815-1898,Kingdom of Prussia,politician,human,male,tysk politiker.
peCGVBi,Q3364664,96295775,,[CHRISTIAN GOTTLIEB] VILHELM,BISSEN,[CHRISTIAN GOTTLIEB] VILHELM BISSEN,1836,1913,1836-1913,Denmark,sculptor,human,male,dansk billedhugger.
peCAB,Q694077,94272014,pf01037045026425,CARL ANTON,BJERKNES,CARL ANTON BJERKNES,1825,1903,1825-1903,Norway,professor,human,male,norsk matematiker og fysiker.
peWMB,,,,WALBORG MARIE,BJØRN,WALBORG MARIE BJØRN,1861,,1861-,,,human,,norsk pensjonatvertinne.
peBBj,Q721741,40123365,pf01037045044307,BJØRN,BJØRNSON,BJØRN BJØRNSON,1859,1942,1859-1942,Norway,writer,human,male,norsk skuespiller og teatersjef.
peBB,Q46405,295290572,pf01037086000570,BJØRNSTJERNE [MARTINIUS],BJØRNSON,BJØRNSTJERNE [MARTINIUS] BJØRNSON,1832,1910,1832-1910,Norway,writer,human,male,norsk forfatter.
peDB,Q24680810,32021033,pd00000011441592,DAGNY,BJØRNSON,DAGNY BJØRNSON,1876,1974,1876-1974,Norway,writer,human,female,"yngste datter av Bjørnstjerne og Karoline Bjørnson (Amdam & Keel 1993-99, . 2, 629). "
peEjBj,,,,EJNAR,BJØRNSON,EJNAR BJØRNSON,1864,1942,1864-1942,,,human,,norsk forretningsmann.
peEBj,Q11066700,222397732,pf01036435000851,ERLING,BJØRNSON,ERLING BJØRNSON,1868,1959,1868-1959,Norway,politician,human,male,"norsk gårdruker og politiker, sønn av Bjørnstjerne og Karoline Bjørnson. "
peIAa,Q3434990,40118884,pf01052055001457,INGEBORG [MATHILDE LAURA],BJØRNSON,INGEBORG [MATHILDE LAURA] BJØRNSON,1858,1937,1858-1937,Norway,singer,human,female,norsk sangerinne.
peKBj,Q4352561,65384575,,KAROLINE,BJØRNSON,KAROLINE BJØRNSON,1835,1934,1835-1934,Norway,actor,human,female,norsk dikterhustru.
pePBj,,,,PETER [ELIAS],BJØRNSON,PETER [ELIAS] BJØRNSON,1838,1906,1838-1906,,,human,,norsk embetsmann.
peABla,Q764239,89311076,,AUGUST [THEODOR],BLANCHE,AUGUST [THEODOR] BLANCHE,1811,1868,1811-1868,Sweden,writer,human,male,"svensk forfatter, teatermann og politiker."
pePiB,Q1597820,64162052,,PIETRO,BLASÈRNA,PIETRO BLASÈRNA,1836,1918,1836-1918,Kingdom of Italy,politician,human,male,italiensk fysiker.
peMBl,,,,MARIE,BLEHR,MARIE BLEHR,1845,1920,1845-1920,,,human,,norsk hotellvertinne (NBO PA).
peOBlehr,Q560571,222317284,pf01036392044853,OTTO [ALBERT],BLEHR,OTTO [ALBERT] BLEHR,1847,1927,1847-1927,Norway,politician,human,male,norsk jurist og politiker.
peRBle,Q4939507,223595797,pf01036392044854,RANDI [MARIE],BLEHR,RANDI [MARIE] BLEHR,1851,1928,1851-1928,Norway,politician,human,female,norsk kvinnesaksforkjemper.
peDrB,Q100261636,281184071,pd00000002995276,[THOMAS LAURITZ CHRISTIAN] FREDERIK,BLICH,[THOMAS LAURITZ CHRISTIAN] FREDERIK BLICH,1810,1879,1810-1879,Norway,physician,human,male,norsk lege.
peJBC,Q4939515,5308149108413668780006,,JENNY [FREDERIKKE],BLICHER-CLAUSEN,JENNY [FREDERIKKE] BLICHER-CLAUSEN,1865,1907,1865-1907,Denmark,poet,human,female,dansk forfatterinne.
peEBlix,Q1329019,67365448,pf01037045156883,ELIAS,BLIX,ELIAS BLIX,1835,1902,1835-1902,Norway,writer,human,male,"norsk salmedikter, teolog, filolog og politiker."
peRBlix,Q1773520,40185802,pf01037045156888,RAGNVALD,BLIX,RAGNVALD BLIX,1882,1958,1882-1958,Norway,illustrator,human,male,norsk karikaturtegner.
peCBl,Q547055,54420290,,CARL [HEINRICH],BLOCH,CARL [HEINRICH] BLOCH,1834,1890,1834-1890,Denmark,painter,human,male,"dansk maler, raderer og tegner."
peEB,Q12309936,,,[HARALD] EMIL,BLOCH,[HARALD] EMIL BLOCH,1836,1914,1836-1914,Denmark,biographer,human,male,dansk kunsthistoriker.
peWiB,Q5579201,55063624,,WILLIAM [EDVARD],BLOCH,WILLIAM [EDVARD] BLOCH,1845,1926,1845-1926,Denmark,author,human,male,dansk sceneinstruktør og forfatter.
peHOB,Q16176769,222973190,pf01052055005345,HANS ØRN,BLOM,HANS ØRN BLOM,1817,1885,1817-1885,Norway,writer,human,male,norsk forfatter og publisist.
peOBl,Q71567,74132797,,OSKAR,BLUMENTHAL,OSKAR BLUMENTHAL,1852,1917,1852-1917,Germany,writer,human,male,"tysk teaterleder, kritiker og forfatter."
