XML_ID,Wikidata_ID,Viaf_ID,NHRP_ID,Given_Name,Surname,Name,Year_of_Birth,Year_of_Death,Lifespan,Instance,Gender,Country_of_citizenship,Occupation,Letters_Received,Times_Mentioned,Brief_Description,Spouses_Name,Spouses_ID
peAdF,,,,ADOLF,FALKMAN,ADOLF FALKMAN,1837,1903,1837-1903,human,male,Denmark,journalist,0,2,"dansk journalist (i HIS 12k, 655, på basis av K&E 1, 314, feilaktig identifisert som Axel Falkmann).",,
peSFal,Q11893231,58611805,,SEVERIN [GABRIEL],FALKMAN,SEVERIN [GABRIEL] FALKMAN,1831,1889,1831-1889,human,male,Sweden,painter,0,1,svensk-finsk maler.,,
peEF,Q12309374,,,[MORTEN] EDVARD,FALLESEN,[MORTEN] EDVARD FALLESEN,1817,1894,1817-1894,human,male,Denmark,"politician, military officer",12,33,"dansk offiser, politiker og teatersjef.",,
peCF,,157149196534874792135,,CONRAD,FALSEN,CONRAD FALSEN,1847,1898,1847-1898,human,male,Norway,"consul, military officer",0,13,norsk offiser og konsul.,,
peDFa,,,,DOROTHEA [ELISABETH],FALSEN,DOROTHEA [ELISABETH] FALSEN,1849,1916,1849-1916,human,female,,married to,0,19,"Conrad Falsens hustru, Susanna Isens halvsøster. ",,
peHAF,,,,HENRIK ANTON,FALSEN,HENRIK ANTON FALSEN,1871,1945,1871-1945,human,male,Norway,consul,0,2,"norsk konsul, sønn av Conrad og Dorothea Falsen,. ",IDA FREDERIKKE ANINE BILLE,noID
peMF,,,,MAGDALENA,FALSEN,MAGDALENA FALSEN,1874,1957,1874-1957,human,female,,,0,4,"datter av Conrad og Dorothea Falsen (Anker 2, 132; F 1900). ",,
peGFF,Q18503131,226335390,,GEORG [FREDERIK CHRISTOPHER],FASTING,GEORG [FREDERIK CHRISTOPHER] FASTING,1837,1914,1837-1914,human,male,Norway,"author, teacher",0,1,norsk skolemann og forfatter.,,
peEFa,Q3426198,,,ELLEN,FAVORIN,ELLEN FAVORIN,1853,1919,1853-1919,human,female,,painter,0,1,finsk malerinne.,,
peAFa,Q11957969,243625079,pf01038110001114,ANDREAS,FAYE,ANDREAS FAYE,1802,1869,1802-1869,human,male,Norway,"vicar, historian",0,1,norsk prest og historiker.,,
peTFe,Q7789543,,pd00000015146235,THOMAS [NICOLAY],FEARNLEY,THOMAS [NICOLAY] FEARNLEY,1841,1927,1841-1927,human,male,Norway,ship-owner,0,2,norsk skipsreder.,,
peLFe,Q5727185,,,[FREDERIK LAURENTIUS] LORRY,FEILBERG,[FREDERIK LAURENTIUS] LORRY FEILBERG,1858,1917,1858-1917,human,male,Denmark,"journalist, baker, cabaret director",0,1,"dansk journalist, baker og kabaretdirektør.",,
peUvF,Q5727276,46277428,,[OLOF OTTO] URBAN VON,FEILITZEN,[OLOF OTTO] URBAN VON FEILITZEN,1834,1913,1834-1913,human,male,Sweden,"author, military officer, farmer, critic",2,3,"svensk offiser, gårdbruker, forfatter og kritiker.",,
peFeLu,Q3839634,52442649,,LUIGI,FERRI,LUIGI FERRI,1826,1895,1826-1895,human,male,Italy,philosopher,0,1,italiensk filosof.,,
peHvF,Q78792,77107506,,HEINRICH (Freiherr) VON,FERSTEL,HEINRICH (Freiherr) VON FERSTEL,1828,1883,1828-1883,human,male,Austria,architect,0,1,østerriksk arkitekt.,,
peZF,Q117110,22327203,,ZDENKO (Zdeněk),FIBICH,ZDENKO (Zdeněk) FIBICH,1850,1900,1850-1900,human,male,Czechoslovakia,composer,1,1,tsjekkisk komponist.,,
peAF,Q5729628,35454566,,[JOHAN] ANDREAS [NEERGAARD],FIBIGER,[JOHAN] ANDREAS [NEERGAARD] FIBIGER,1868,1937,1868-1937,human,male,Denmark,vicar,1,0,dansk prest.,,
peFrFr,Q108825,19930180,,FRIEDRICH,FIEDLER,FRIEDRICH FIEDLER,1859,1917,1859-1917,human,male,Germany,"author, translator, teacher",1,0,"tysk lærer, sceneforfatter og oversetter (DBI 3. utg.;",,
peJCHF,Q5731579,21837237,,JOHAN CHRISTIAN HENRIK,FISCHER,JOHAN CHRISTIAN HENRIK FISCHER,1814,1885,1814-1885,human,male,Denmark,,0,1,dansk minister.,,
peSFi,Q95541,76445177,,SAMUEL,FISCHER,SAMUEL FISCHER,1859,1934,1859-1934,human,male,Germany,bookseller,7,42,tysk forlagsbokhandler.,,
peFist,,72121416,,GUSTAV [CHRISTIAN JACOB PIERRE NESTOR],FISTAINE,GUSTAV [CHRISTIAN JACOB PIERRE NESTOR] FISTAINE,1820,1886,1820-1886,human,male,Denmark,,0,1,dansk språkmann.,,
peLFi,Q4948162,44350413,,LAURA [MATHILDA BERNHARDINA],FITINGHOFF,LAURA [MATHILDA BERNHARDINA] FITINGHOFF,1848,1908,1848-1908,human,female,Sweden,author,1,7,"svensk forfatterinne, mor til Rosa Fitinghoff. ",CONRAD BLECKERT FITINGHOFF,noID
peRFi,Q1120787,62017993,,[LAURA MATHILDA EDLA] ROSA,FITINGHOFF,[LAURA MATHILDA EDLA] ROSA FITINGHOFF,1872,1949,1872-1949,human,female,Sweden,author,10,0,"svensk forfatterinne, datter av Laura Fitinghoff. ",,
peJHGF,Q6118627,40834455,,JAKOB/JACOB [HENRIK GERHARD],FJELDE,JAKOB/JACOB [HENRIK GERHARD] FJELDE,1859,1896,1859-1896,human,male,"Norway, United States of America",sculptor,0,1,norsk-amerikansk billedhugger.,,
peWF,Q5732564,9825727,,[AXEL] WILHELM,FLACH,[AXEL] WILHELM FLACH,1857,1920,1857-1920,human,male,Sweden,civil servant,1,0,svensk embetsmann.,,
peOF,Q3420582,231501527,,OLE [HENRIKSEN],FLADAGER,OLE [HENRIKSEN] FLADAGER,1832,1871,1832-1871,human,male,Norway,sculptor,0,6,norsk billedhugger.,,
peRF,Q40538059,7689149296292680670001,,RICHARD,FLEISCHER,RICHARD FLEISCHER,1849,1937,1849-1937,human,male,Germany,editor,1,0,tysk redaktør.,,
peCLFl,,,,CHRISTIAN [LUDVIG],FLOOR,CHRISTIAN [LUDVIG] FLOOR,1819,1899,1819-1899,human,male,Norway,bookseller,0,1,norsk bokhandler.,,
peCWF,,,,[CHRISTIAN] WILHELM,FOGHT,[CHRISTIAN] WILHELM FOGHT,1837,1922,1837-1922,human,male,Denmark,"actor, theatre director",2,9,dansk skuespiller og teaterdirektør.,,
peFGFdC,Q1446800,62342890,,FRANZ GRAF,FOLLIOT DE CRENNEVILLE,FRANZ GRAF FOLLIOT DE CRENNEVILLE,1815,1888,1815-1888,human,male,Austria,general,0,1,østerriksk general.,,
peCFoug,Q4579994,45149294507880522945,,CARL [ANDREAS],FOUGSTAD,CARL [ANDREAS] FOUGSTAD,1806,1871,1806-1871,human,male,Norway,"politician, civil servant",0,1,norsk embetsmann og politiker.,,
peEMF,Q122464,69689129,,ERNST [MORITZ],FRANCKE,ERNST [MORITZ] FRANCKE,1852,1921,1852-1921,human,male,Germany,"editor, politician",0,1,tysk sosialpolitiker og redaktør.,,
peFruF,,,,,FRANQUE,FRU VON,,,,human,female,Germany,landlord,0,1,"tysk husvertinne, ikke identifisert.",,
peKongF7,Q94941,120722547,,,,FREDERIK 7.,1808,1863,1808-1863,"human, King",male,Denmark,King,0,1,dansk konge 1848-63.,,
peFrV,Q550714,5725465,,,,FREDRIK VILHELM 1.,1802,1875,1802-1875,"human, Prince",male,,Prince,0,1,kurfyrste av Hessen-Kassel 1847-66.,,
peGF,Q5859657,,,[JOHAN] GUSTAF,FREDRIKSON,[JOHAN] GUSTAF FREDRIKSON,1832,1921,1832-1921,human,male,Sweden,"actor, theatre manager",5,5,svensk skuespiller og teaterleder.,,
peAFr,Q94752512,30296684,,ANNA,FREYTAG,ANNA FREYTAG,1852,1911,1852-1911,human,female,,married to,1,0,tysk forfatterhustru.,"ALEXANDER STRAKOSCH, GUSTAV FREYTAG","noID, peGFr"
peGFr,Q58811,29547947,,GUSTAV,FREYTAG,GUSTAV FREYTAG,1816,1895,1816-1895,human,male,Germany,"author, journalist, historian",0,3,"tysk forfatter, kulturhistoriker og journalist.",,
peFF,Q772701,27831812,,FRIEDRICH,FRIEDLÄNDER,FRIEDRICH FRIEDLÄNDER,1825,1901,1825-1901,human,male,Austria,painter,0,2,østerriksk genremaler.,,
peCFGF,Q456168,222409941,pf01053257012579,CHRISTIAN [FREDERIK GOTFRIED],FRIELE,CHRISTIAN [FREDERIK GOTFRIED] FRIELE,1821,1899,1821-1899,human,male,Norway,editor,0,4,norsk redaktør.,,
peHFri,Q10982525,172178124,,HERMAN,FRIELE,HERMAN FRIELE,1838,1921,1838-1921,human,male,Norway,"scientist, businessman",0,1,norsk forretningsmann og naturforsker.,,
pePF,,,,POVL [PETER JØRGEN],FRIIS,POVL [PETER JØRGEN] FRIIS,1854,1905,1854-1905,human,male,Denmark,"actor, theatre director",1,0,dansk skuespiller og teaterdirektør.,,
peJFr,,,,JOHAN,FRIMODT,JOHAN FRIMODT,1859,1935,1859-1935,human,male,Denmark,bookseller,0,1,dansk bokhandler.,,
peHeFr,,,,HENRIETTE [MARIE CHRISTINA],FROMM,HENRIETTE [MARIE CHRISTINA] FROMM,1827,1899,1827-1899,human,female,,married to,0,1,østerriksk offisershustru.,,
peLvFr,,,,LUDWIG [CARL MATTHIAS JOSEF] FREIHERR VON,FROMM,LUDWIG [CARL MATTHIAS JOSEF] FREIHERR VON FROMM,1811,1890,1811-1890,human,male,Austria,military officer,0,1,østerriksk-ungarsk offiser.,,
peThF,Q19414322,,pf01037045006994,THEODOR [CHRISTIAN BRUN],FRØLICH,THEODOR [CHRISTIAN BRUN] FRØLICH,1834,1904,1834-1904,human,male,Norway,hofmarschall,0,1,norsk oberst og hoffsjef.,,
peIFu,Q95207517,40141099,,IDA,FULDA,IDA FULDA,1871,,1871-,human,female,Germany,actor,0,1,tysk skuespillerinne.,LUDWIG [ANTON SALOMON] FULDA,peLF
peLF,Q72283,17261212,,LUDWIG [ANTON SALOMON],FULDA,LUDWIG [ANTON SALOMON] FULDA,1862,1939,1862-1939,human,male,Germany,author,3,1,tysk forfatter.,,
peLGa,Q114728,273930709,,[JOHANN OTTO] LUDWIG,GABILLON,[JOHANN OTTO] LUDWIG GABILLON,1825,1896,1825-1896,human,male,Germany,"actor, director",0,3,tysk skuespiller og regissør.,,
peGECG,Q5748952,5209153184552427100003,,GOTTLIEB ERNST CLAUSEN,GAD,GOTTLIEB ERNST CLAUSEN GAD,1830,1906,1830-1906,human,male,Denmark,"publisher, bookseller",0,2,dansk bokhandler og forlegger.,,
peLHG,Q7905807,,,LUDVIG HARALD,GADE,LUDVIG HARALD GADE,1823,1897,1823-1897,human,male,Denmark,dancer,0,2,dansk danser.,,
peNWG,Q154632,54332446,,NIELS WILHELM,GADE,NIELS WILHELM GADE,1817,1890,1817-1890,human,male,Denmark,composer,0,1,dansk komponist.,,
peGGal,Q307,2470550,,GALILEO,GALILEI,GALILEO GALILEI,1564,1642,1564-1642,human,male,Italy,"astronomer, physicist",0,1,italiensk fysiker og astronom.,,
peGSG,,,,GREGORY SERGEJEVITSJ,GALITZIN,GREGORY SERGEJEVITSJ GALITZIN,1838,1907,1838-1907,"human, Prince",male,Russia,"Prince, general",0,1,"russisk fyrste, senator og generalløytnant.",,
pePiGa,,,,PIETRO,GALLETTI,PIETRO GALLETTI,,,,human,male,Italy,theatre personnel,0,5,"italiensk teatermann (jf. HU 19, 566).",,
peLeGa,Q295090,61559644,,LÉON,GAMBETTA,LÉON GAMBETTA,1838,1882,1838-1882,human,male,France,"lawyer, politician",0,1,fransk jurist og politiker.,,
peJCG,,309667840,,JOACHIM [CHRISTIAN],GAMBORG,JOACHIM [CHRISTIAN] GAMBORG,1831,1884,1831-1884,human,male,Norway,"lawyer, economist",3,3,norsk jurist og økonom.,,
peHGa,Q5934177,31595004,,HUGO,GANZ,HUGO GANZ,1862,1922,1862-1922,human,male,Germany,"author, journalist",1,0,tysk journalist og forfatter.,,
peAGa,Q467497,89613088,pf01037030002786,ARNE (Aadne),GARBORG,ARNE (Aadne) GARBORG,1851,1924,1851-1924,human,male,Norway,"editor, author",0,6,norsk forfatter og redaktør.,HULDA BERGERSEN,noID
peGGa,Q539,100192194,,GIUSEPPE,GARIBALDI,GIUSEPPE GARIBALDI,1807,1882,1807-1882,human,male,Italy,,0,3,italiensk nasjonalist og geriljaleder.,,
peFGa,Q5752315,4840152637772920220008,pf01037045026564,FREDRIK [TORP],GARMANN,FREDRIK [TORP] GARMANN,1850,1907,1850-1907,human,male,Norway,actor,1,2,norsk skuespiller.,,
peFLG,Q1448090,80765865,,FRANZ LUDWIG,GEHE,FRANZ LUDWIG GEHE,1810,1882,1810-1882,human,male,Germany,businessman,0,1,tysk forretningsmann og fabrikant.,,
peALG,,,,ANNA L.,GEELMUYDEN,ANNA L. GEELMUYDEN,1809,1872,1809-1872,human,male,Norway,press owner,0,1,"norsk trykkerieier (Amdam & Keel 1993-99, b. 2).",,
peGaG,Q343550,22187234,,GUSTAF AF,GEIJERSTAM,GUSTAF AF GEIJERSTAM,1858,1909,1858-1909,human,male,Sweden,author,9,4,svensk forfatter.,,
peGoG,Q10503575,819561,,(GUSTAV) GÖSTA AF,GEIJERSTAM,(GUSTAV) GÖSTA AF GEIJERSTAM,1888,1954,1888-1954,human,male,"Norway, Sweden","author, painter",0,1,svensk-norsk forfatter og maler.,,
peNGV,,47599849,,[SOFIA EUGENIA HORTENCE] NENNIE,GEIJERSTAM-VALENKAMPH,[SOFIA EUGENIA HORTENCE] NENNIE GEIJERSTAM-VALENKAMPH,1864,1900,1864-1900,human,female,,married to,0,4,svensk forfatterhustru.,GUSTAF AF GEIJERSTAM,peGaG
peGeorgII,Q702749,27084313,,,,GEORG 2.,1826,1914,1826-1914,human,male,,theatre manager,4,11,hertug av Sachsen-Meiningen og teaterleder.,,
peBeG,Q1797916,107637654,pf01037045154553,BERNHARD,GETZ,BERNHARD GETZ,1850,1901,1850-1901,human,male,Norway,lawyer,0,2,norsk jurist.,,
peCCG,Q64710942,,pf01038027003846,CHRISTIAN [CHRISTOPHER],GIEBELHAUSEN,CHRISTIAN [CHRISTOPHER] GIEBELHAUSEN,1807,1885,1807-1885,human,male,"Norway, Denmark","actor, director",1,1,dansk-norsk skuespiller og regissør.,,peSWin
peSGi,Q4950025,,pf01038027003847,SIGNE (Georgine Juliane Flemmentine),GIEBELHAUSEN,SIGNE (Georgine Juliane Flemmentine) GIEBELHAUSEN,1811,1879,1811-1879,human,female,"Norway, Denmark",actor,0,2,dansk-norsk skuespillerinne.,CHRISTIAN [CHRISTOPHER] GIEBELHAUSEN,peCCG
peAG,,,,ARNE,GIVERHOLT,ARNE GIVERHOLT,1882,1939,1882-1939,human,male,Norway,journalist,1,0,"norsk journalist og pressesekretær (HU 19, 546; NBO PA).",,
peJAG,,,,JOHAN [ANDREAS],GJEMS,JOHAN [ANDREAS] GJEMS,,,,human,male,Norway,clerk,0,1,norsk kontorist.,,
peAaG,Q17120262,47861442,pd00000000576171,AAGOT,GJEMS,AAGOT GJEMS,1857,1926,1857-1926,human,female,Norway,"actor, author",0,2,norsk skuespillerinne og forfatterinne.,,
peAuG,,,,AUGUSTA,GJERTSEN,AUGUSTA GJERTSEN,1838,1916,1838-1916,human,female,,married to,0,2,norsk skolestyrerhustru.,FREDRIK GJERTSEN,peFG
peFG,Q11970071,228250567,pf01053257026743,FREDRIK,GJERTSEN,FREDRIK GJERTSEN,1831,1904,1831-1904,human,male,Norway,teacher,2,5,norsk skolemann.,,
peHG,Q5700110,35214550,,HEINRICH,GLÜCKSMANN,HEINRICH GLÜCKSMANN,1864,1947,1864-1947,human,male,Austria,"author, journalist",1,0,østerriksk journalist og forfatter.,,
peIMHG,Q4568603,,,ISAK [MOSES HARTVIG],GLÜCKSTADT,ISAK [MOSES HARTVIG] GLÜCKSTADT,1839,1910,1839-1910,human,male,Denmark,,0,1,dansk bankdirektør.,,
peJGl,Q4582210,96182638,pf01036392024943,JACOB,GLØERSEN,JACOB GLØERSEN,1852,1912,1852-1912,human,male,Norway,"painter, illustrator",0,1,norsk maler og tegner.,,
peKG,Q5761848,67540294,pf01038027023451,[OLE] KRISTIAN,GLØERSEN,[OLE] KRISTIAN GLØERSEN,1838,1916,1838-1916,human,male,Norway,"littérateur, pedagog",2,0,norsk pedagog og litterat.,,
peNGl,,,,NANCY [VILHELMINE CATHARINA],GLØERSEN,NANCY [VILHELMINE CATHARINA] GLØERSEN,1842,1931,1842-1931,human,female,,married to,1,0,norsk forfatterhustru.,[OLE] KRISTIAN GLØERSEN,peKG
peMGo,Q12326143,,,MARIUS,GODSKESEN,MARIUS GODSKESEN,1861,1937,1861-1937,human,male,Denmark,lawyer,1,0,dansk advokat.,,
peJWGo,Q5879,24602065,,JOHANN WOLFGANG VON,GOETHE,JOHANN WOLFGANG VON GOETHE,1749,1832,1749-1832,human,male,Germany,poet,0,6,tysk dikter.,,
peMAG,Q1926505,100207407,,MEÏR [ARON],GOLDSCHMIDT,MEÏR [ARON] GOLDSCHMIDT,1819,1887,1819-1887,human,male,Denmark,"author, writer",0,8,dansk forfatter og politisk skribent.,,
peEmGo,Q3052714,24722314,,[LOUIS JEAN] EMMANUEL,GONZALÉS,[LOUIS JEAN] EMMANUEL GONZALÉS,1815,1887,1815-1887,human,male,"Spain, France","author, novelist",0,1,spansk-fransk romanforfatter.,,
peCGo,Q5764623,67246101,,[AUGUST HERMAN FERDINAND] CARL,GOOS,[AUGUST HERMAN FERDINAND] CARL GOOS,1835,1917,1835-1917,human,male,Denmark,"politician, jurist",0,1,dansk rettslærd og politiker.,,
peEGo,Q742371,54239311,,EDMUND [WILLIAM],GOSSE,EDMUND [WILLIAM] GOSSE,1849,1928,1849-1928,human,male,England,"author, critic",16,15,engelsk forfatter og kritiker.,NELLIE (Ellen) GOSSE,peEpps
peEpps,Q41154898,40819605,,NELLIE (Ellen),GOSSE,NELLIE (Ellen) GOSSE,1850,1929,1850-1929,human,female,,married to,0,1,engelsk kritikerhustru.,EDMUND [WILLIAM] GOSSE,peEGo
peFGo,Q1457044,25350409,,FRIEDERIKE,GOSSMANN,FRIEDERIKE GOSSMANN,1836,1906,1836-1906,human,female,"Germany, Austria",actor,1,0,tysk-østerriksk skuespillerinne.,,
peRG,Q96796,52499345,,RUDOLF [CARL VON],GOTTSCHALL,RUDOLF [CARL VON] GOTTSCHALL,1823,1909,1823-1909,human,male,Germany,author,0,1,tysk forfatter.,,
peJGTG,Q95383,56621998,,JOHANN GEORG THEODOR,GRAESSE,JOHANN GEORG THEODOR GRAESSE,1814,1885,1814-1885,human,male,Germany,librarian,0,1,"tysk bibliotekar (HU 19, 491).",,
peFGr,,,,FREDERIKKE [SEVERINE MATTHEA],GRAM,FREDERIKKE [SEVERINE MATTHEA] GRAM,1811,1896,1811-1896,human,female,,married to,1,0,norsk offisershustru.,JOHAN GEORG BOLL GRAM,noID
peCKG,,,,CHRISTEN [KNAGENHJELM],GRAN,CHRISTEN [KNAGENHJELM] GRAN,1822,1899,1822-1899,human,male,Norway,merchant,0,1,norsk kjøpmann.,,
peFGran,Q55850719,42598911,,FRANZ,GRANDAUR,FRANZ GRANDAUR,1822,1896,1822-1896,human,male,Germany,director,1,6,tysk operaregissør (DBI).,,
peHJGr,Q26966449,275685192,,HENRIK JØRGEN,GREENSTEEN,HENRIK JØRGEN GREENSTEEN,1833,1895,1833-1895,human,male,Denmark,"author, teacher",0,1,dansk skolemann og forfatter.,,
peGreg,Q44011,108675755,,,,"GREGOR FRA NAZIANZ, kalt Teologen",0330,0390,0330-0390,human,male,Greece,,0,2,gresk kirkeleder.,,
peJTG,Q4148414,52451748,,JACK (Jacob) THOMAS,GREIN,JACK (Jacob) THOMAS GREIN,1862,1935,1862-1935,human,male,United Kingdom of Great Britain and Ireland,"theatre manager, critic",1,0,nederlandsk-britisk teaterkritiker og teaterleder.,,
peHuG,Q1635078,79389255,,HUGO,GREINZ,HUGO GREINZ,1873,1946,1873-1946,human,male,Austria,"author, journalist, translator",0,1,"østerriksk forfatter, journalist og oversetter.",,
peRiG,Q3430809,64372854,,RICHARD,GRELLING,RICHARD GRELLING,1853,,1853-,human,male,Germany,"author, lawyer",0,1,tysk advokat og forfatter.,,
peEGr,Q80621,46946549,pf01037028018377,EDVARD [HAGERUP],GRIEG,EDVARD [HAGERUP] GRIEG,1843,1907,1843-1907,human,male,Norway,composer,11,16,norsk komponist.,,
peJG,Q18756079,4069154260738924480008,pf01037324004598,JOHN,GRIEG,JOHN GRIEG,1840,1901,1840-1901,human,male,Norway,businessman,1,0,norsk forretningsmann.,,
peNG,Q2499581,10658838,pf01052295000630,NINA,GRIEG,NINA GRIEG,1845,1935,1845-1935,human,female,Norway,"singer, pedagog",0,7,norsk sangerinne og sangpedagog.,,
peSGM,Q17119654,6155563892513001587,pf01053257045100,SIGNE,GRIEG/GRIEG-MÜLLER,SIGNE GRIEG/GRIEG-MÜLLER,1868,1960,1868-1960,human,female,Norway,actor,0,1,norsk skuespillerinne.,LUDVIG [AUGUST] MÜLLER,peLuM
peGr,,,,G.G.,GRIMM,G.G. GRIMM,,1865,-1865,human,male,Denmark,book printer,0,1,dansk boktrykker i Slesvig.,,
peKrGr,,,,KRISTIAN,GRIMSGAARD,KRISTIAN GRIMSGAARD,1862,,1862-,human,male,Norway,bookseller,0,1,norsk bokhandler.,,
peReGr,Q55850848,69693261,,GÜNTHER VON DER,GROEBEN,GÜNTHER VON DER GROEBEN,1832,1900,1832-1900,human,male,Germany,"editor, military officer",1,1,tysk offiser og redaktør.,,
peGro,,,,monsieur,GROS,monsieur GROS,,,,human,male,,,0,1,ikke identifisert.,,
peEmGr,Q94759611,3233388,,EMANUEL,GROSSER,EMANUEL GROSSER,1874,1921,1874-1921,human,male,Germany,painter,1,0,tysk portrettmaler.,,
peMGr,Q111373,40141243,,MAX,GRUBE,MAX GRUBE,1854,1934,1854-1934,human,male,Germany,"actor, author, theatre manager",2,0,"tysk skuespiller, teaterleder og forfatter.",,
peTG,Q21711288,96371687,,TONY,GRUBHOFER,TONY GRUBHOFER,1854,1935,1854-1935,human,male,Austria,"painter, illustrator",0,4,østerriksk landskapsmaler og illustratør.,,
peLGr,Q30049709,,,LAURA,GRUNDTVIG,LAURA GRUNDTVIG,1837,1891,1837-1891,human,female,,married to,1,0,dansk akademikerhustru.,SVEND GRUNDTVIG,noID
peNFSGr,Q331893,32788147,,NICOLAI FREDERIK SEVERIN,GRUNDTVIG,NICOLAI FREDERIK SEVERIN GRUNDTVIG,1783,1872,1783-1872,human,male,Denmark,"author, vicar, historian",0,2,"dansk prest, forfatter og historiker.",,
peGrae,,,,CARL,GRÆBE,CARL GRÆBE,1851,1930,1851-1930,human,male,Denmark,book printer,0,1,dansk boktrykker.,,
peAuGr,,,,AUGUST,GRÖBNER,AUGUST GRÖBNER,1860,1914,1860-1914,human,male,Austria,councilor,0,1,østerriksk kommunemann.,,
peLuGr,,,,LUDWIG,GRÖBNER,LUDWIG GRÖBNER,1853,1916,1853-1916,human,male,,,3,2,Ibsens vert i Gossensass.,,
peMarGr,,,,MARIE (Maria),GRÖBNER,MARIE (Maria) GRÖBNER,1855,1937,1855-1937,human,male,Austria,governess,0,3,østerriksk guvernante.,,
peMaGr,,,,MAX,GRÖBNER,MAX GRÖBNER,1861,1922,1861-1922,human,male,Austria,"merchant, hotelier",1,0,østerriksk kjøpmann og hotellvert.,,
peGrob,,,,fru,GRÖBNER,fru GRÖBNER,,,,human,female,,married to,0,1,Max Gröners hustru.,,
peToGr,,,,TONI (ANTONIA),GRÖBNER,TONI (ANTONIA) GRÖBNER,1870,1952,1870-1952,human,female,Austria,hotelier,0,1,østerriksk hotellvertinne.,LUDWIG GRÖBNER,peLuGr
peAFG,,,,[ANDREAS] FREDRIK [SCHROETER],GRØN,[ANDREAS] FREDRIK [SCHROETER] GRØN,1819,1905,1819-1905,human,male,Norway,doctor,3,0,norsk lege.,,
peABG,Q270464,64196537,pf01052055030522,AGATHE [URSULA] BACKER,GRØNDAHL,AGATHE [URSULA] BACKER GRØNDAHL,1847,1907,1847-1907,human,female,Norway,"composer, pianist",0,1,norsk pianistinne og komponist.,OLAUS [ANDREAS] GRØNDAHL,peOAG
peOAG,Q6548567,6476148997652259870002,pf01036392087368,OLAUS [ANDREAS],GRØNDAHL,OLAUS [ANDREAS] GRØNDAHL,1847,1923,1847-1923,human,male,Norway,director,0,1,norsk sanginstruktør.,AGATHE [URSULA] BACKER GRØNDAHL,peABG
peAGro,Q15401554,224619613,pf01036372005826,[HANS] AIMAR [MOW],GRØNVOLD,[HANS] AIMAR [MOW] GRØNVOLD,1846,1926,1846-1926,human,male,Norway,"civil servant, historian",0,1,norsk embetsmann og musikkhistoriker.,,
peAugG,,,,AUGUSTA,GRØNVOLD,AUGUSTA GRØNVOLD,1848,,1848-,human,female,Norway,teacher,0,1,norsk musikklærerinne.,,
peBG,Q5774738,96075912,pf01052295024670,BERNT [BORCHGREVINK],GRØNVOLD,BERNT [BORCHGREVINK] GRØNVOLD,1859,1923,1859-1923,human,male,Norway,"painter, art collector, illustrator",2,14,"norsk maler, tegner og kunstsamler.",,
peDG,Q5274240,49129941,pf01036398001273,DIDRIK [HEGERMANN],GRØNVOLD,DIDRIK [HEGERMANN] GRØNVOLD,1855,1928,1855-1928,human,male,Norway,"author, teacher",4,1,"norsk skolemann, forfatter og museumsmann.",,
peHGr,,,,HEDWIG,GRØNVOLD,HEDWIG GRØNVOLD,,,,human,female,,married to,0,7,tysk malerhustru.,MARCUS [FREDRIK STEEN] GRØNVOLD,peMG
peMG,Q5774795,96659930,pl00000000006621,MARCUS [FREDRIK STEEN],GRØNVOLD,MARCUS [FREDRIK STEEN] GRØNVOLD,1845,1929,1845-1929,human,male,Norway,"painter, illustrator",20,11,norsk maler og tegner.,,
peHHermann,Q84492743,,,«MINKA» (Hermine),GRØNVOLD,«MINKA» (Hermine) GRØNVOLD,1862,1931,1862-1931,human,female,Germany,painter,0,2,tysk malerinne.,,
peHaGu,Q701669,74615628,pv00000000426351,HANS [FREDRIK],GUDE,HANS [FREDRIK] GUDE,1825,1903,1825-1903,human,male,Norway,"painter, professor",0,6,norsk maler og akademiprofessor.,,
peNGu,Q4567201,5537147727703664710008,pf01053257029011,NILS,GUDE,NILS GUDE,1859,1908,1859-1908,human,male,Norway,painter,0,1,norsk maler.,,
peCGu,Q712979,12463108,pf01037045064070,CATO [MAXIMILIAN],GULDBERG,CATO [MAXIMILIAN] GULDBERG,1836,1902,1836-1902,human,male,Norway,"physicist, mathematician",0,1,norsk matematiker og fysiker.,,
peGAG,Q3373754,74616063,pf01052721046952,GUSTAV [ADOLF],GULDBERG,GUSTAV [ADOLF] GULDBERG,1854,1908,1854-1908,human,male,Norway,anatomist,0,2,norsk anatom.,,
peBGu,,,,BIRGITTE [CORNELIA],GULDBRANDSEN,BIRGITTE [CORNELIA] GULDBRANDSEN,1839,1927,1839-1927,human,female,Norway,"actor, singer",0,1,norsk skuespillerinne og sangerinne.,,
peJCGun,,,,JENS CHR.,GUNDERSEN,JENS CHR. GUNDERSEN,1820,1893,1820-1893,human,male,Norway,book printer,0,1,norsk boktrykker (NBO PA).,,
peLG,Q1779050,226125698,pf01053257041348,LAURA [SOFIE COUCHERON],GUNDERSEN,LAURA [SOFIE COUCHERON] GUNDERSEN,1832,1898,1832-1898,human,female,Norway,actor,6,18,norsk skuespillerinne.,,
peSG,Q5776691,,,SIGVARD [EMIL],GUNDERSEN,SIGVARD [EMIL] GUNDERSEN,1842,1903,1842-1903,human,male,Norway,actor,2,15,norsk skuespiller.,,
peHGu,Q95235932,232346833,,HANS,GUNDORPH,HANS GUNDORPH,1808,1874,1808-1874,human,male,Denmark,librarian,0,2,dansk bibliotekar.,,
